mesa_id,i
0100200728X,24877
0100200729X,24878
0100200730X,24879
0100200731X,24880
0100200732X,24881
0100200733X,24882
0100200734X,24883
0100200735X,24884
0100200736X,24885
0100200737X,24886
0100200738X,24887
0100200739X,24888
0100200740X,24889
0100200741X,24890
0100200742X,24891
0100200743X,24892
0100200744X,24893
0100200745X,24894
0100200746X,24895
0100200747X,24896
0100200748X,24897
0100200749X,24898
0100200750X,24899
0100200751X,24900
0100200752X,24901
0100200753X,24902
0100200754X,24903
0100200755X,24904
0100200756X,24905
0100200757X,24906
0100200758X,24907
0100200759X,24908
0100200760X,24909
0100200761X,24910
0100200762X,24911
0100200763X,24912
0100200764X,24913
0100200765X,24914
0100200766X,24915
0100200767X,24916
0100200768X,24917
0100200769X,24918
0100200770X,24919
0100200771X,24920
0100200772X,24921
0100200773X,24922
0100200774X,24923
0100200775X,24924
0100200776X,24925
0100200777X,24926
0100200778X,24927
0100200779X,24928
0100200780X,24929
0100200781X,24930
0100200782X,24931
0100200783X,24932
0100200784X,24933
0100200785X,24934
0100200786X,24935
0100200787X,24936
0100200788X,24937
0100200789X,24938
0100200790X,24939
0100200791X,24940
0100200792X,24941
0100200793X,24942
0100200794X,24943
0100200795X,24944
0100200796X,24945
0100200797X,24946
0100200798X,24947
0100200799X,24948
0100200800X,24949
0100200801X,24950
0100200802X,24951
0100200803X,24952
0100200804X,24953
0100200805X,24954
0100200806X,24955
0100200807X,24956
0100200808X,24957
0100200809X,24958
0100200810X,24959
0100200811X,24960
0100200812X,24961
0100200813X,24962
0100200814X,24963
0100200815X,24964
0100200816X,24965
0100200817X,24966
0100200818X,24967
0100200819X,24968
0100200820X,24969
0100200821X,24970
0100200822X,24971
0100200823X,24972
0100200824X,24973
0100200825X,24974
0100200826X,24975
0100200827X,24976
0100200828X,24977
0100200829X,24978
0100200830X,24979
0100200831X,24980
0100200832X,24981
0100200833X,24982
0100200834X,24983
0100200835X,24984
0100200836X,24985
0100200837X,24986
0100200838X,24987
0100200839X,24988
0100200840X,24989
0100200841X,24990
0100200842X,24991
0100200843X,24992
0100200844X,24993
0100200845X,24994
0100200846X,24995
0100200847X,24996
0100200848X,24997
0100200849X,24998
0100200850X,24999
0100200851X,25000
0100200852X,25001
0100200853X,25002
0100200854X,25003
0100200855X,25004
0100200856X,25005
0100200857X,25006
0100200858X,25007
0100200859X,25008
0100200860X,25009
0100200861X,25010
0100200862X,25011
0100200863X,25012
0100200864X,25013
0100200865X,25014
0100200866X,25015
0100200867X,25016
0100200868X,25017
0100200869X,25018
0100200870X,25019
0100200871X,25020
0100200872X,25021
0100200873X,25022
0100200874X,25023
0100200875X,25024
0100200876X,25025
0100200877X,25026
0100200878X,25027
0100200879X,25028
0100200880X,25029
0100200881X,25030
0100200882X,25031
0100200883X,25032
0100200884X,25033
0100200885X,25034
0100200886X,25035
0100200887X,25036
0100200888X,25037
0100200889X,25038
0100200890X,25039
0100200891X,25040
0100200892X,25041
0100200893X,25042
0100200894X,25043
0100200895X,25044
0100200896X,25045
0100200897X,25046
0100200898X,25047
0100200899X,25048
0100200900X,25049
0100200901X,25050
0100200902X,25051
0100200903X,25052
0100200904X,25053
0100200905X,25054
0100200906X,25055
0100200907X,25056
0100200908X,25057
0100200909X,25058
0100200910X,25059
0100200911X,25060
0100200912X,25061
0100200913X,25062
0100200914X,25063
0100200915X,25064
0100300916X,25135
0100300917X,25136
0100300918X,25137
0100300919X,25138
0100300920X,25139
